comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156257703884781_10156258818094781,122150409780_10156257703884781,,Ella Liang bring it fam,0,2018-02-15 23:02:07,0,0,0,0,0,0,0,0
10156257703884781_10156258890604781,122150409780_10156257703884781,,Ben Rodriguez,0,2018-02-15 23:54:53,0,0,0,0,0,0,0,0
10156257703884781_10156259194399781,122150409780_10156257703884781,,Thinh Le momma,0,2018-02-16 03:16:39,1,1,0,0,0,0,0,0
10156253977789781_10156255177969781,122150409780_10156253977789781,,Love how colleges and liberals try to mix up immigration with illegals.   Tell the truth and stop confusing the issue!,0,2018-02-14 18:55:36,1,1,0,0,0,0,0,0
10156253977789781_10156264647149781,122150409780_10156253977789781,,Congrats to Professor Cruz!! He’s awesome 😊😊,0,2018-02-17 22:47:18,1,1,0,0,0,0,0,0
10156253977789781_10156256163329781,122150409780_10156253977789781,,He looks like a serial killer,0,2018-02-15 02:47:16,0,0,0,0,0,0,0,0
10156253977789781_10156254662079781,122150409780_10156253977789781,,💕✌🏻🎶 the right way! ☀️,0,2018-02-14 16:06:57,0,0,0,0,0,0,0,0
10156253977789781_10156254247364781,122150409780_10156253977789781,,#miraclecoast,0,2018-02-14 13:29:05,0,0,0,0,0,0,0,0
10156253977789781_10156255459659781,122150409780_10156253977789781,,Congratulations!,0,2018-02-14 21:04:31,0,0,0,0,0,0,0,0
10156253977789781_10156264307104781,122150409780_10156253977789781,,"John Jonghwan Yoon, Yuki Huang, Ivy Wang, Alex Tov",0,2018-02-17 20:35:39,2,2,0,0,0,0,0,0
10156253977789781_10156264644894781,122150409780_10156253977789781,10156253977789781_10156264307104781,Aww congrats to him!!,0,2018-02-17 22:47:00,0,0,0,0,0,0,0,0
10156240263874781_10156243626344781,122150409780_10156240263874781,,Michelle Yokota Jennifer Ling does this mean we can go tailgate now?,0,2018-02-11 01:44:41,0,0,0,0,0,0,0,0
